keys,en,fr,de,es
NEW_GAME,New game,Nouvelle partie,Neues Spiel,Nueva partida
CONTINUE_GAME,Continue game,Continuer la partie,Weiterspielen,Continuar
LOAD_GAME,Load game,Charger,Spiel laden,Cargar partida
SAVE_GAME,Save game,Sauvegarder,Spiel speichern,Guardar partida
OPTIONS,Options,Options,Einstellungen,Opciones
QUIT,Quit,Quitter,Beenden,Salir
OPTIONS_BACK,Back,Retour,Zurück,Volver
OPTIONS_LANGUAGE,Language,Langue,Sprache,Idioma
GENERAL_VOLUME,General,Général,Allgemein,General
MUSIC_VOLUME,Music,Musique,Musik,Música
SOUND_VOLUME,Sound effects,Effets sonores,Soundeffekte,Efectos de sonido
SPEECH_VOLUME,Speech,Voix,Sprachausgabe,Voz
AMBIENT_VOLUME,Ambient,Ambiance,Atmosphäre,Ambiente
FULLSCREEN,Fullscreen,Plein écran,Vollbild,Pantalla completa
CANCEL,Cancel,Annuler,Abbrechen,Cancelar
OK,OK,Ok,Ok,Ok
ENTER_SAVE_NAME,Enter the save name:,Entrez un nom de sauvegarde,Bitte gib einen Namen für das Spiel ein:,Introduce el nombre de la partida:
APPLY,Apply,Appliquer,Anwenden,Aplicar
CONFIRM_OVERWRITE,Overwrite the savegame?,Écraser la sauvegarde ?,Soll das Spiel überschrieben werden?, ¿Sobreescribir la partida?
YES,Yes,Oui,Ja,Sí
NO,No,Non,Nein,No
